,0
0,0.0
1,0.1
2,0.5
3,0.9
4,0.3
5,0.1
6,0.1
7,0.1
8,0.0
9,0.0
10,0.0
11,0.1
12,0.1
13,0.0
14,0.1
15,0.1
16,0.1
17,0.1
18,0.0
19,0.1
20,0.0
21,0.1
22,0.1
23,0.0
24,0.7
25,0.1
26,0.3
27,0.1
28,0.1
29,0.1
30,0.0
31,0.1
32,0.1
33,0.0
34,0.1
35,0.0
36,0.5
37,1.4
38,1.6
39,1.1
40,1.4
41,1.8
42,3.7
43,2.152296
44,3.7404778
45,5.9
46,11.1
47,16.6
48,22.4
49,27.9
50,33.1
51,37.2
52,39.2
53,40.9
54,42.9
55,45.5
56,48.3
57,51.4
58,53.8
59,53.35646
60,48.82609
61,43.78493
62,40.99208
63,37.189896
64,35.72786
65,33.92338
66,33.92338
67,32.61203
68,29.835075
69,23.967457
70,19.853142
71,15.4689455
72,13.416943
73,11.027485
74,7.1760387
75,3.0461767
76,0.0
77,2.2
78,5.0
79,8.1
80,12.4
81,17.9
82,24.0
83,29.8
84,35.7
85,40.9
86,46.4
87,50.9
88,55.1
89,58.1
90,56.44576
91,53.540367
92,47.660526
93,43.95733
94,40.093044
95,35.98837
96,32.707275
97,29.235994
98,25.923788
99,24.168154
100,25.28828
101,26.537386
102,27.679533
103,28.168804
104,28.609453
105,28.609453
106,29.445312
107,29.793425
108,28.639883
109,27.395338
110,27.406189
111,26.503027
112,24.235542
113,24.743097
114,26.011507
115,27.28629
116,27.46232
117,26.774841
118,26.343245
119,24.756123
120,25.47457
121,27.946648
122,27.571718
123,28.529507
124,29.24865
125,29.606125
126,31.842793
127,30.058496
128,25.409327
129,27.80315
130,27.571718
131,28.529507
132,29.24865
133,29.606125
134,31.842793
135,30.058496
136,25.409327
137,27.571718
138,28.529507
139,29.24865
140,29.606125
141,31.842793
142,30.058496
143,25.409327
144,23.366087
145,25.655283
146,30.711895
147,32.46729
148,32.61203
149,29.835075
150,23.967457
151,19.853142
152,15.4689455
153,13.416943
154,11.027485
155,7.1760387
156,3.0461767
157,0.0
158,2.2
159,5.0
160,8.1
161,12.4
162,17.9
163,24.0
164,29.8
165,35.7
166,40.9
167,46.4
168,50.9
169,55.1
170,58.1
171,57.881058
172,53.95066
173,48.571537
174,48.571537
175,47.0924
176,48.553238
177,49.49311
178,50.575832
179,51.645947
180,53.522633
181,55.3916
182,56.419888
183,57.45249
184,58.590958
185,59.446407
186,60.114487
187,57.881058
188,53.95066
189,48.571537
190,47.0924
191,48.553238
192,49.49311
193,50.575832
194,51.645947
195,53.522633
196,54.788616
197,52.125126
198,48.52726
199,43.9605
200,40.248417
201,38.227016
202,35.16229
203,31.16542
204,27.383814
205,24.998152
206,23.237654
207,21.619473
208,20.079678
209,18.391197
210,15.646997
211,12.838544
212,10.034782
213,7.415234
214,4.7629685
215,0.876102
216,2.152296
217,3.7404778
218,3.945192
219,0.0
220,2.152296
221,3.7404778
222,2.152296
223,3.7404778
224,2.152296
225,3.7404778
226,3.945192
227,0.0
228,2.152296
229,3.7404778
230,2.152296
231,3.7404778
232,5.9
233,11.1
234,16.6
235,22.4
236,27.9
237,33.1
238,37.2
239,39.2
240,40.9
241,42.9
242,45.5
243,48.3
244,51.4
245,53.8
246,56.21714
247,51.499603
248,47.189594
249,44.182205
250,40.92495
251,37.528183
252,33.86527
253,30.11749
254,26.131407
255,22.631567
256,20.664755
257,17.578793
258,13.673379
259,8.882805
260,3.996939
261,0.0
262,2.152296
263,3.7404778
264,3.945192
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
